timestamp, avg_roundtrip_lat(ms)
1645320011.380042, 168.73576199577656
1645320011.3800883, 168.73576199577656
1645320011.387563, 177.69128899817588
1645320011.3876004, 177.69128899817588
1645320011.4140294, 205.4462340020109
1645320011.4140806, 205.4462340020109
1645320011.4326868, 221.8019460051437
1645320011.4327486, 221.8019460051437
1645320011.4846954, 274.25628000492
1645320011.4847424, 274.25628000492
1645320011.4855666, 273.846873002185
1645320011.4855921, 273.846873002185
1645320011.4862206, 274.0603670026758
1645320011.4862442, 274.0603670026758
1645320011.5393662, 326.2312680017203
1645320011.5394535, 326.2312680017203
1645320011.5407572, 328.1014839958516
1645320011.5408003, 328.1014839958516
1645320011.547632, 334.08787599910283
1645320011.5476959, 334.08787599910283
1645320011.6034768, 389.503127997159
1645320011.603541, 389.503127997159
1645320011.6186388, 404.236675996799
1645320011.6187003, 404.236675996799
1645320011.6200447, 405.2538359974278
1645320011.620088, 405.2538359974278
1645320011.6650674, 449.80805199884344
1645320011.6651115, 449.80805199884344
1645320011.6675377, 451.42974900227273
1645320011.6675785, 451.42974900227273
1645320011.6879764, 472.26917700027116
1645320011.6880386, 472.26917700027116
1645320011.729217, 512.6512649949291
1645320011.7292778, 512.6512649949291
1645320011.7461307, 529.1377390021808
1645320011.7461922, 529.1377390021808
1645320011.747756, 530.3395230002934
1645320011.7477858, 530.3395230002934
1645320011.804854, 586.934962993837
1645320011.80494, 586.934962993837
1645320011.8086503, 590.3352579989587
1645320011.8087122, 590.3352579989587
1645320011.819325, 600.5988069955492
1645320011.8193746, 600.5988069955492
1645320011.8593917, 640.2580369976931
1645320011.8594358, 640.2580369976931
1645320011.8753633, 655.768574004469
1645320011.8754156, 655.768574004469
1645320011.8932016, 673.125704000995
1645320011.8932905, 673.125704000995
1645320011.9336221, 713.1535640000948
1645320011.9336832, 713.1535640000948
1645320011.9348712, 713.5838059984962
1645320011.9349122, 713.5838059984962
1645320011.9587708, 737.869591001072
1645320011.9588325, 737.869591001072
1645320011.9953556, 773.5831940008211
1645320011.99542, 773.5831940008211
1645320012.007263, 785.0407270016149
1645320012.0073774, 785.0407270016149
1645320012.0173721, 794.7480470029404
1645320012.0174356, 794.7480470029404
1645320012.063177, 840.1129379999475
1645320012.063256, 840.1129379999475
1645320012.069948, 846.4792619997752
1645320012.070009, 846.4792619997752
1645320012.0984144, 874.488563000341
1645320012.0984988, 874.488563000341
1645320012.1132786, 888.908735003497
1645320012.1133401, 888.908735003497
1645320012.1247246, 899.483221997798
1645320012.1248136, 899.483221997798
1645320012.1783237, 953.5314789973199
1645320012.1783879, 953.5314789973199
1645320012.1795735, 953.97391699953
1645320012.1796129, 953.97391699953
1645320012.2005248, 974.0116060056607
1645320012.2005866, 974.0116060056607
1645320012.2380252, 1011.9720400034566
1645320012.238088, 1011.9720400034566
1645320012.2411394, 1014.2216980020748
1645320012.2411852, 1014.2216980020748
1645320012.276812, 1049.4563169995672
1645320012.2768745, 1049.4563169995672
1645320012.2993524, 1070.6136070002685
1645320012.2994192, 1070.6136070002685
1645320012.3111, 1083.3324049963267
1645320012.3111627, 1083.3324049963267
1645320012.353983, 1125.7483299996238
1645320012.3540485, 1125.7483299996238
1645320012.3730912, 1143.865726000513
1645320012.3731787, 1143.865726000513
1645320012.3797688, 1149.1805969999405
1645320012.3798563, 1149.1805969999405
1645320012.4361167, 1206.4504029985983
1645320012.4361773, 1206.4504029985983
1645320012.4463863, 1216.2646079959814
1645320012.4464495, 1216.2646079959814
1645320012.4508169, 1219.7883339977125
1645320012.4508746, 1219.7883339977125
1645320012.4971023, 866.5880859989556
1645320012.4971652, 866.5880859989556
1645320012.5167696, 878.0091740045464
1645320012.516832, 878.0091740045464
1645320012.5264485, 861.0882299981313
1645320012.5265136, 861.0882299981313
1645320012.570752, 887.0882139963214
1645320012.570813, 887.0882139963214
1645320012.5883572, 852.6215609963401
1645320012.588418, 852.6215609963401
1645320012.5957143, 855.6612559987116
1645320012.5957935, 855.6612559987116
1645320012.6395223, 897.0903309964342
1645320012.6395812, 897.0903309964342
1645320012.6550777, 864.8736590039334
1645320012.6551423, 864.8736590039334
1645320012.6673348, 875.4258750050212
1645320012.6674228, 875.4258750050212
1645320012.7222521, 923.643287998857
1645320012.722316, 923.643287998857
1645320012.7276492, 872.8628069948172
1645320012.72771, 872.8628069948172
1645320012.7363997, 866.5616139987833
1645320012.7364655, 866.5616139987833
1645320012.806185, 934.3419679935323
1645320012.8062506, 934.3419679935323
1645320012.80752, 891.6807189962128
1645320012.8075633, 891.6807189962128
1645320012.815447, 895.965754003555
1645320012.8154914, 895.965754003555
1645320012.8870516, 947.7742980016046
1645320012.8871233, 947.7742980016046
1645320012.8893645, 909.0805010055192
1645320012.8894145, 909.0805010055192
1645320012.8896222, 892.8625030021067
1645320012.8896484, 892.8625030021067
1645320012.9559104, 956.7905989970313
1645320012.9560063, 956.7905989970313
1645320012.9595435, 900.1681939989794
1645320012.9596248, 900.1681939989794
1645320012.9600053, 904.0582230009022
1645320012.9600499, 904.0582230009022
1645320013.0308821, 960.5230890010716
1645320013.0309694, 960.5230890010716
1645320013.0322573, 922.4400550010614
1645320013.0323038, 922.4400550010614
1645320013.033821, 907.5003559992183
1645320013.0338776, 907.5003559992183
1645320013.099756, 955.7658929988975
1645320013.0998178, 955.7658929988975
1645320013.1065245, 921.4741030009463
1645320013.1065884, 921.4741030009463
1645320013.1093843, 922.0349829993211
1645320013.1094325, 922.0349829993211
1645320013.1682985, 959.0398790023755
1645320013.168349, 959.0398790023755
