avg_roundtrp_lat(ms),rps,timestamp,avg_exec_lat(ns),hits,misses,miss_diff,hits_diff,avg_exec_lat(ms)
113.52691466336029,59,1645310302801326.8,2923.3846153846152,22.34065934065934,26.032967032967033,0.25555555555555554,0.6888888888888889,2.923384615384615
35.33242832009609,195,1645310303549461.5,2471.951219512195,137.859756097561,36.890243902439025,0.036585365853658534,0.9512195121951219,2.4719512195121958
16.203606272591568,194,1645310304526751.0,751.7091836734694,316.9438775510204,37.0,0.0,1.0,0.7517091836734694
14.478431391304756,178,1645310305519937.0,762.1542857142857,502.6,37.0,0.0,1.0,0.7621542857142851
13.195828236005616,191,1645310306486642.5,725.3455497382199,685.4712041884817,37.0,0.0,1.0,0.7253455497382192
14.590819319953937,191,1645310307502536.0,742.375,876.984375,37.0,0.0,1.0,0.7423749999999999
13.14338126982701,188,1645310308509816.5,730.1604278074866,1066.5133689839572,37.0,0.0,1.0,0.7301604278074856
14.92760553380214,186,1645310309502188.8,758.1505376344086,1252.8064516129032,37.0,0.0,1.0,0.7581505376344077
13.831540291744565,189,1645310310495698.5,801.4867724867725,1440.6772486772486,37.0,0.0,1.0,0.8014867724867718
14.987083682064368,186,1645310311496253.2,762.9193548387096,1628.1774193548388,37.0,0.0,1.0,0.7629193548387089
13.228530162925143,184,1645310312478484.8,701.0163043478261,1813.0380434782608,37.0,0.0,1.0,0.7010163043478252
12.983321734011556,195,1645310313479049.8,737.7179487179487,2002.4666666666667,37.0,0.0,1.0,0.7377179487179484
14.533768522596802,192,1645310314511090.0,715.6943005181347,2196.60621761658,37.0,0.0,1.0,0.7156943005181343
12.809258378396986,179,1645310315502234.8,764.1555555555556,2383.177777777778,37.0,0.0,1.0,0.7641555555555551
13.313788629002563,194,1645310316485219.2,733.7447916666666,2568.9270833333335,37.0,0.0,1.0,0.7337447916666661
12.829334157989555,192,1645310317496088.0,707.609375,2760.90625,37.0,0.0,1.0,0.7076093749999995
12.46496720883368,196,1645310318522162.5,711.219387755102,2954.9795918367345,37.0,0.0,1.0,0.7112193877551012
10.915603836599205,175,1645310319503027.2,707.5762711864406,3141.412429378531,37.0,0.0,1.0,0.7075762711864404
16.50497396894468,195,1645310320486739.2,722.1450777202073,3326.497409326425,37.0,0.0,1.0,0.7221450777202062
14.60782610945384,191,1645310321506616.0,772.0890052356021,3518.3979057591623,37.031413612565444,0.005235602094240838,0.9947643979057592,0.7720890052356016
13.037812049531013,184,1645310322508099.5,737.7135135135135,3705.4972972972973,38.0,0.0,1.0,0.7377135135135132
12.349449650476648,192,1645310323499268.0,701.1413612565445,3893.4083769633507,38.0,0.0,1.0,0.7011413612565441
13.37693829012195,193,1645310324510211.0,711.7305699481865,4085.4663212435235,38.0,0.0,1.0,0.7117305699481863
13.125417303744253,182,1645310325506050.0,752.0989010989011,4273.016483516483,38.0,0.0,1.0,0.7520989010989007
14.082129611172908,192,1645310326498493.0,854.578125,4459.989583333333,38.0,0.0,1.0,0.8545781249999997
12.798099770916851,182,1645310327500675.8,741.3189189189189,4648.4648648648645,38.0,0.0,1.0,0.7413189189189184
16.94954955635011,189,1645310328487867.8,727.2795698924731,4834.193548387097,38.0,0.0,1.0,0.7272795698924731
16.855893769311383,188,1645310329508663.2,755.9739583333334,5023.151041666667,38.0,0.0,1.0,0.7559739583333331
13.40825917521635,182,1645310330494130.2,725.5555555555555,5208.805555555556,38.0,0.0,1.0,0.7255555555555548
13.756721009279495,194,1645310331478298.2,739.421875,5394.765625,38.0,0.0,1.0,0.7394218750000005
16.907267175777687,183,1645310332499790.8,869.6063829787234,5584.622340425532,38.505319148936174,0.005319148936170213,0.9946808510638298,0.8696063829787231
14.907992343069054,184,1645310333491676.8,708.5191256830601,5769.366120218579,39.0,0.0,1.0,0.7085191256830597
14.509418009951407,196,1645310334486047.0,709.0208333333334,5957.166666666667,39.0,0.0,1.0,0.7090208333333324
13.04557220050201,194,1645310335512846.8,744.4820512820513,6150.533333333334,39.0,0.0,1.0,0.7444820512820507
14.472976161157273,191,1645310336541658.5,751.2628865979382,6345.092783505154,39.0,0.0,1.0,0.7512628865979377
21.958406132983576,171,1645310337524021.5,965.5,6522.0297619047615,43.416666666666664,0.03571428571428571,0.9642857142857143,0.9654999999999999
14.988038190832535,194,1645310338505996.5,699.4336734693877,6702.076530612245,45.0,0.0,1.0,0.6994336734693873
15.80201407752769,184,1645310339513958.5,792.7513812154696,6890.657458563536,45.0,0.0,1.0,0.7927513812154704
15.121161137747373,187,1645310340504729.8,722.989417989418,7075.619047619048,45.0,0.0,1.0,0.7229894179894174
16.182229649792944,180,1645310341491699.0,705.1988950276243,7260.701657458563,45.0,0.0,1.0,0.7051988950276239
14.995955132451284,198,1645310342498442.5,761.0153846153846,7448.553846153846,45.0,0.0,1.0,0.7610153846153843
13.174894957400456,185,1645310343510226.2,718.4516129032259,7639.021505376344,45.0,0.0,1.0,0.7184516129032252
11.982269123090441,193,1645310344506257.0,724.953125,7827.911458333333,45.0,0.0,1.0,0.7249531249999998
12.626978608163734,186,1645310345517073.5,758.6701570680628,8019.471204188481,45.0,0.0,1.0,0.7586701570680627
14.05727074364509,187,1645310346509644.2,731.6284153005464,8206.486338797815,45.0,0.0,1.0,0.7316284153005461
11.828180268144314,188,1645310347493428.5,810.6666666666666,8392.42328042328,45.0,0.0,1.0,0.8106666666666669
11.878999460513066,190,1645310348487383.2,746.3597883597884,8581.375661375661,45.0,0.0,1.0,0.7463597883597884
